taxon_id,scientific_name,rank,source_material_status,wikipedia_status,available_article_urls,botanical_source_urls,record_path
122658,Leucobryum glaucum,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Leucobryum_glaucum | https://pt.wikipedia.org/wiki/Leucobryum_glaucum,,taxa/122658.json
129271,Medicago arborea,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Medicago_arborea | https://pt.wikipedia.org/wiki/Medicago_arborea,,taxa/129271.json
193330,Herniaria maritima,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Herniaria_maritima | https://pt.wikipedia.org/wiki/Herniaria_maritima,,taxa/193330.json
345417,Freesia laxa,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Freesia_laxa | https://pt.wikipedia.org/wiki/Anomatheca_laxa,,taxa/345417.json
357461,Gladiolus dalenii,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Gladiolus_dalenii,,taxa/357461.json
370562,Cenchrus purpureus,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Cenchrus_purpureus | https://pt.wikipedia.org/wiki/Capim-napi%C3%AA,,taxa/370562.json
490533,Sesamoides spathulifolia,species,taxon_matched_text,article_title_matched,https://pt.wikipedia.org/wiki/Sesamoides_spathulifolia,,taxa/490533.json
544685,Iris mesopotamica,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Iris_mesopotamica,,taxa/544685.json
985710,Thaumatophyllum bipinnatifidum,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Philodendron_bipinnatifidum | https://pt.wikipedia.org/wiki/Thaumatophyllum_bipinnatifidum,,taxa/985710.json
57457,Stachys palustris,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Stachys_palustris | https://pt.wikipedia.org/wiki/Stachys_palustris,https://www.gbif.org/species/314868637,taxa/57457.json
60360,Geranium yeoi,species,taxonomy_only,taxonomy_only,,,taxa/60360.json
78841,Rhagadiolus stellatus,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Rhagadiolus_stellatus | https://pt.wikipedia.org/wiki/Rhagadiolus_stellatus,,taxa/78841.json
123963,Diplophyllum albicans,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Diplophyllum_albicans,,taxa/123963.json
126637,Hyacinthus orientalis,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Hyacinthus_orientalis,,taxa/126637.json
127391,Daphne laureola,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Daphne_laureola | https://pt.wikipedia.org/wiki/Daphne_laureola,https://www.gbif.org/species/314868836,taxa/127391.json
132820,Sphagnum denticulatum,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Sphagnum_denticulatum,,taxa/132820.json
135400,Howea forsteriana,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Howea_forsteriana,,taxa/135400.json
138788,Melilotus italicus,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Melilotus_italicus | https://pt.wikipedia.org/wiki/Melilotus_italicus,,taxa/138788.json
158184,Allium nigrum,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Allium_nigrum | https://pt.wikipedia.org/wiki/Alho-m%C3%A1gico,https://www.gbif.org/species/314868383,taxa/158184.json
163001,Fissidens dubius,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Fissidens_dubius,,taxa/163001.json
163110,Frullania tamarisci,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Frullania_tamarisci,,taxa/163110.json
181681,Photinia × fraseri,hybrid,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Photinia_%C3%97_fraseri,,taxa/181681.json
223666,Lilium candidum,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Lilium_candidum | https://pt.wikipedia.org/wiki/Lilium_candidum,,taxa/223666.json
333946,Myosotis debilis,species,taxon_matched_text,article_title_matched,https://pt.wikipedia.org/wiki/Myosotis_debilis,,taxa/333946.json
334379,Euphorbia ingens,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Euphorbia_ingens | https://pt.wikipedia.org/wiki/Candelabro_(planta),,taxa/334379.json
406109,Sparaxis bulbifera,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Sparaxis_bulbifera,,taxa/406109.json
431346,Muehlenbeckia sagittifolia,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Muehlenbeckia_sagittifolia | https://pt.wikipedia.org/wiki/Muehlenbeckia_sagittifolia,,taxa/431346.json
976072,Aichryson santamariensis,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Aichryson_santamariensis | https://pt.wikipedia.org/wiki/Aichryson_santamariensis,,taxa/976072.json
1252131,Ophrys × heraultii,hybrid,taxon_matched_text,article_title_matched,https://es.wikipedia.org/wiki/Ophrys_%C3%97_heraultii,,taxa/1252131.json
1252712,Pentanema montanum,species,taxonomy_only,taxonomy_only,,,taxa/1252712.json
51223,Schlumbergera truncata,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Schlumbergera_truncata | https://pt.wikipedia.org/wiki/Flor-de-maio,,taxa/51223.json
61935,Scleranthus annuus,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Scleranthus_annuus | https://pt.wikipedia.org/wiki/Scleranthus_annuus,,taxa/61935.json
122530,Bambusa vulgaris,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Bambusa_vulgaris | https://pt.wikipedia.org/wiki/Bambu-listrado,,taxa/122530.json
126549,Camellia sasanqua,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Camellia_sasanqua,,taxa/126549.json
126633,Ruellia simplex,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Ruellia_simplex,,taxa/126633.json
167780,Reseda phyteuma,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Reseda_phyteuma | https://pt.wikipedia.org/wiki/Reseda_phyteuma,,taxa/167780.json
199385,Ficus rubiginosa,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Ficus_rubiginosa | https://pt.wikipedia.org/wiki/Ficus_rubiginosa,,taxa/199385.json
338472,Orobanche calendulae,species,taxon_matched_text,article_title_matched,https://pt.wikipedia.org/wiki/Orobanche_calendulae,,taxa/338472.json
338704,Magydaris panacifolia,species,taxon_matched_text,article_title_matched,https://pt.wikipedia.org/wiki/Magydaris_panacifolia,,taxa/338704.json
339000,Blidingia minima,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Blidingia_minima,,taxa/339000.json
341587,Lotus conimbricensis,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Lotus_conimbricensis | https://pt.wikipedia.org/wiki/Lotus_conimbricensis,,taxa/341587.json
342022,Limonium ovalifolium,species,taxonomy_only,taxonomy_only,,,taxa/342022.json
467523,Cistus libanotis,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Cistus_libanotis | https://pt.wikipedia.org/wiki/Cistus_libanotis,,taxa/467523.json
864829,Teucrium algarbiense,species,taxon_matched_text,article_title_matched,https://pt.wikipedia.org/wiki/Teucrium_algarbiense,,taxa/864829.json
1372866,Ulex eriocladus,species,taxon_matched_text,article_title_matched,https://pt.wikipedia.org/wiki/Ulex_eriocladus,,taxa/1372866.json
1515459,Hesperocyparis arizonica,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Hesperocyparis_arizonica,,taxa/1515459.json
1524732,Campsis × tagliabueana,hybrid,text_needs_scope_review,articles_need_scope_review,https://en.wikipedia.org/wiki/Campsis_%C3%97_tagliabuana,,taxa/1524732.json
60602,Petrorhagia dubia,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Petrorhagia_dubia | https://pt.wikipedia.org/wiki/Petrorhagia_dubia,,taxa/60602.json
