taxonId,name,rank,status,language,allRawSourceTokens,selectedRawSourceTokens,selectedCleanSourceTokens,evidencePacketTokens,hasSources,draftRequestTextTokens
584108,Dombeya tiliacea,species,taxonomy_only,,0,0,0,41,False,831
584239,Drosanthemum intermedium,species,taxonomy_only,,0,0,0,43,False,833
585941,Ficinia praemorsa,species,taxonomy_only,,0,0,0,41,False,831
586042,Freylinia lanceolata,species,taxon_matched_text,en,268,268,44,141,True,931
586452,Gladiolus priorii,species,taxon_matched_text,es,1195,1195,557,722,True,1512
586814,Haworthiopsis coarctata,species,taxon_matched_text,en,2096,1136,351,485,True,1275
586827,Haworthiopsis viscosa,species,taxon_matched_text,en,1006,1006,376,560,True,1350
588155,Jasminum multipartitum,species,taxon_matched_text,en,809,809,266,391,True,1181
588546,Lampranthus falcatus,species,taxon_matched_text,en,607,607,59,148,True,938
588553,Lampranthus fugitans,species,taxonomy_only,,0,0,0,40,False,830
588642,Lampranthus stenopetalus,species,taxonomy_only,,0,0,0,47,False,837
588654,Lampranthus tenuifolius,species,taxon_matched_text,en,860,860,187,319,True,1109
588996,Lessertia capensis,species,taxonomy_only,,0,0,0,38,False,828
589278,Lithops lesliei,species,taxon_matched_text,en,789,789,315,442,True,1232
589286,Lithops schwantesii,species,taxon_matched_text,en,560,560,170,277,True,1067
590725,Oedipodiella australis,species,text_needs_scope_review,en,459,459,66,155,True,945
590746,Lobostemon echioides,species,taxon_matched_text,en,1442,1442,373,504,True,1294
591204,Oxalis hirsuta,species,taxonomy_only,,0,0,0,41,False,831
591639,Pelargonium odoratissimum,species,taxon_matched_text,en,2374,1047,475,630,True,1420
591694,Pelargonium tenuicaule,species,taxonomy_only,,0,0,0,43,False,833
592436,Populus simonii,species,taxon_matched_text,en,732,338,65,150,True,940
592816,Quercus castaneifolia,species,taxon_matched_text,en,1313,1313,571,714,True,1504
593040,Reynoutria sachalinensis,species,taxon_matched_text,en,2158,2158,627,785,True,1575
594187,Senecio arenarius,species,taxonomy_only,,0,0,0,40,False,830
594542,Silene undulata,species,taxon_matched_text,en,2864,1217,317,431,True,1221
595124,Taraxacum ekmanii,species,taxon_matched_text,pt,1335,1335,302,485,True,1275
595126,Taraxacum marklundii,species,taxonomy_only,,0,0,0,44,False,834
595521,Thuidium assimile,species,text_needs_scope_review,de,1179,1179,559,678,True,1468
596217,Watsonia densiflora,species,taxon_matched_text,en,319,319,30,116,True,906
603446,Gaultheria borneensis,species,taxonomy_only,,0,0,0,43,False,833
603653,Antirrhinum tortuosum,species,taxon_matched_text,en,1518,1518,180,312,True,1102
605774,Verbascum capitis-viridis,species,taxon_matched_text,en,639,639,119,224,True,1014
606234,Rhododendron formosanum,species,taxonomy_only,,0,0,0,44,False,834
606593,Lotus lancerottensis,species,taxon_matched_text,en,2026,773,116,235,True,1025
622418,Persoonia confertiflora,species,taxon_matched_text,en,1118,1118,376,507,True,1297
624926,Equisetum × moorei,hybrid,taxon_matched_text,en,408,408,116,237,True,1027
626809,Vassobia breviflora,species,taxonomy_only,,0,0,0,43,False,833
627906,Digitalis mariana,species,taxon_matched_text,en,5201,3956,1484,1718,True,2508
628297,Argyranthemum broussonetii,species,taxon_matched_text,es,1044,1044,609,809,True,1599
629137,Vallisneria nana,species,text_needs_scope_review,en,2531,2531,1443,1627,True,2417
630698,Dalbergia benthamii,species,taxonomy_only,,0,0,0,42,False,832
631510,Ficus callosa,species,taxon_matched_text,en,1442,1442,238,331,True,1121
631579,Quercus × rosacea,hybrid,taxon_matched_text,en,802,802,145,247,True,1037
634005,Jasonia tuberosa,species,taxon_matched_text,pt,1205,1205,245,413,True,1203
635325,Hypericum prolificum,species,taxon_matched_text,en,808,808,198,305,True,1095
636177,Fraxinus albicans,species,taxon_matched_text,en,1029,1029,314,427,True,1217
638032,Helianthemum canariense,species,taxon_matched_text,en,833,833,228,350,True,1140
699299,Eucalyptus bicostata,species,text_needs_scope_review,en,1804,1804,831,982,True,1772
700193,Pericallis webbii,species,taxon_matched_text,es,704,704,378,536,True,1326
700567,Salvia chinensis,species,taxon_matched_text,en,352,352,135,216,True,1006
700659,Marcetella moquiniana,species,taxon_matched_text,es,669,669,411,536,True,1326
702403,Billbergia amoena,species,taxon_matched_text,en,1017,1017,30,116,True,906
704121,Begonia parviflora,species,taxonomy_only,,0,0,0,43,False,833
704170,Caputia scaposa,species,taxonomy_only,,0,0,0,39,False,829
704279,Akebia longeracemosa,species,taxon_matched_text,en,812,812,207,341,True,1131
704852,Gelidium amansii,species,taxon_matched_text,en,1286,1286,417,543,True,1333
706009,Tillandsia tricholepis,species,taxon_matched_text,en,947,947,72,164,True,954
706824,Rohdea japonica,species,taxon_matched_text,en,1055,1055,295,419,True,1209
707274,Spathiphyllum kochii,species,taxonomy_only,,0,0,0,45,False,835
707393,Euphorbia ceratocarpa,species,taxon_matched_text,en,607,607,198,299,True,1089
707995,Dischidia formosana,species,taxon_matched_text,en,553,553,86,175,True,965
708907,Viburnum propinquum,species,taxon_matched_text,en,474,474,78,168,True,958
709204,Agave cocui,species,taxon_matched_text,es,1761,1761,1232,1441,True,2231
709951,Epithelantha greggii,species,taxon_matched_text,en,1665,1665,669,798,True,1588
712814,Digitaria henryi,species,taxonomy_only,,0,0,0,40,False,830
712834,Chylocladia verticillata,species,taxon_matched_text,en,604,604,263,411,True,1201
712886,Actinidia setosa,species,text_needs_scope_review,en,1413,1413,546,735,True,1525
713172,Rhododendron rubropilosum,species,taxonomy_only,,0,0,0,47,False,837
713204,Salix fulvopubescens,species,taxonomy_only,,0,0,0,47,False,837
714412,Hosta undulata,species,text_needs_scope_review,en,1271,1271,608,756,True,1546
714953,Gladiolus dalenii × oppositiflorus,hybrid,taxonomy_only,,0,0,0,48,False,838
715209,Rhododendron kanehirae,species,text_needs_scope_review,en,544,544,64,166,True,956
715319,Sophora macrocarpa,species,taxon_matched_text,en,496,496,203,299,True,1089
717494,Buddleja coriacea,species,taxon_matched_text,en,1471,1471,540,654,True,1444
732899,Allium hollandicum,species,taxon_matched_text,en,1382,1382,185,287,True,1077
733615,Protea lorifolia × magnifica,hybrid,taxonomy_only,,0,0,0,48,False,838
733703,Leucospermum glabrum × tottum,hybrid,taxonomy_only,,0,0,0,46,False,836
733717,Leucadendron discolor × gandogeri,hybrid,taxonomy_only,,0,0,0,45,False,835
736937,Medinilla formosana,species,taxonomy_only,,0,0,0,43,False,833
737174,Cotoneaster morrisonensis,species,taxonomy_only,,0,0,0,45,False,835
737340,Galeola falconeri,species,taxon_matched_text,pt,957,957,289,405,True,1195
738706,Veronica epacridea,species,taxon_matched_text,en,593,593,95,184,True,974
739799,Phedimus kamtschaticus,species,taxon_matched_text,en,3054,3054,996,1175,True,1965
742897,Petiolares,section,taxonomy_only,,0,0,0,39,False,829
743229,Maclura tricuspidata,species,taxon_matched_text,en,1289,1289,282,432,True,1222
746567,Amphilophium crucigerum,species,taxon_matched_text,en,1220,1220,178,286,True,1076
747262,Taraxacum lacistophyllum,species,taxon_matched_text,pt,1337,1337,273,459,True,1249
747276,Taraxacum leucopodum,species,taxonomy_only,,0,0,0,46,False,836
747419,Taraxacum sundbergii,species,taxon_matched_text,pt,1290,1290,264,449,True,1239
751171,Aristeguietia lamiifolia,species,taxonomy_only,,0,0,0,49,False,839
752239,Cinnamomum insularimontanum,species,taxonomy_only,,0,0,0,51,False,841
768369,Gonospermum ferulaceum,species,taxonomy_only,,0,0,0,47,False,837
772903,Sporobolus alterniflorus,species,taxon_matched_text,en,6157,5366,1675,1867,True,2657
772983,Sporobolus anglicus,species,taxon_matched_text,en,3336,3336,1748,1930,True,2720
773685,Hemerocallis minor,species,taxon_matched_text,en,412,412,116,222,True,1012
774194,Plantago loeflingii,species,taxon_matched_text,pt,1274,1274,259,431,True,1221
774366,Phyllostachys makinoi,species,taxonomy_only,,0,0,0,42,False,832
774737,Juniperus phoenicea,species,taxon_matched_text,en,5621,4625,1448,1666,True,2456
775112,Nigella gallica,species,taxon_matched_text,en,1635,508,100,193,True,983
